"id","renewal","incentives"
649,1,0
81136,1,0
70762,0.84,404.849889143254
53935,1,0
15476,0.96,49.685326457994
64797,1,0
67412,0.84,153.232918305118
44241,0.92,134.341534989305
5069,0.98,22.1277062175713
16615,1,0
84281,0.95,66.2766784038898
82623,0.98,22.0123245376992
86475,0.73,372.891379134764
68263,0.96,19.1679505175455
113135,0.88,7.30933905122476
45532,0.95,66.276271760027
102161,1,0
84789,0.65,582.55038388179
62398,0.97,35.094527587497
70148,1,0
102487,0.97,35.0945673733977
100513,0.9,207.990630570694
92702,0.85,254.547334202837
25051,0.65,305.305823853844
92920,0.99,10.5025131126605
25520,0.97,35.094527587497
81869,0.97,35.0942051723788
75402,1,0
34053,0.62,0
21191,1,0
10864,1,0
6349,0.99,10.5018998045122
85213,1,0
17255,0.99,10.5021790604666
108351,0.79,142.92420001756
51437,0.99,10.5019131258821
88629,0.82,532.319912018435
85367,1,0
12313,0.94,16.2773147268065
71659,1,0
35142,0.99,10.5021790604666
62988,0.97,35.0944643386045
8793,0.98,22.1270087125376
11433,1,0
30586,1,0
53012,0.95,66.2758290024564
87924,0.99,10.5018998045122
106177,1,0
63058,0.99,10.5025500445659
99537,1,0
35336,0.9,207.990905941553
78691,0.97,20.5958123401215
16161,1,0
94318,1,0
96583,1,0
104560,1,0
19638,1,0
26080,0.99,10.5019131258821
113482,0.99,10.5018998045122
82175,0.98,22.1270087125376
1239,0.97,35.0937634551335
32521,0.69,360.367219200998
68529,1,0
38882,0.26,47.015308684891
8299,1,0
98521,0.99,10.5025131126605
47257,0.98,22.1274334488819
42445,0.99,10.5025131126605
104700,0.82,438.071145825677
109204,1,0
20138,0.58,282.05091569138
28468,1,0
94964,0.85,481.545948526442
59773,0.93,107.71559421084
17261,0.99,10.5025500445659
9570,0.93,107.71559421084
55159,0.64,191.585138157095
82480,1,0
51225,0.71,273.122707808283
53176,0.77,0
82883,0.99,10.5018697465059
63590,1,0
50906,0.89,262.446950110268
21635,0.97,35.094527587497
84000,0.9,207.989793502413
79029,1,0
60256,1,0
110660,0.78,140.803530459158
51023,0.98,22.127297741913
99146,0.97,35.094527587497
93878,0.99,10.5021790604666
93845,1,0
5364,0.4,0
106612,1,0
79928,1,0
94761,1,0
7126,0.89,262.446884832922
82176,0.97,35.0943690786762
53475,0.58,282.05091569138
88108,1,0
65166,1,0
65378,0.97,35.0941113093463
47119,0.99,10.5019131258821
64338,1,0
48872,0.98,22.1270087125376
26061,1,0
78191,1,0
108224,1,0
47646,0.94,16.2773147268065
63423,0.99,10.5019131258821
109453,0.98,22.1274334488819
43299,1,0
